id;adm_lb_nom;sup_id;emr_lb_systeme;emr_dt;sta_nm_dpt;code_insee;generation;date_maj;sta_nm_anfr;nat_id;sup_nm_haut;tpo_id;adr_lb_lieu;adr_lb_add1;adr_lb_add2;adr_lb_add3;adr_nm_cp;com_cd_insee;coordonnees;coord;statut
129223;BOUYGUES TELECOM;1918063;LTE 700;28/09/2023;93;93057;4G;2025-10-02T15:15:22;932751139;38;26,1;9.0;;203 bd Pasteur;Pavillon Basoche;;93320;93057;48.908055555555556 , 2.5166666666666666;48°54'29''N 2°31'0''E;En service
316865;FREE MOBILE;1931013;LTE 2100;;26;26065;4G;2025-10-02T15:15:22;260990337;24;33,3;32.0;LE PARQUET / LES PLOTS;PROCHE LGV MEDITERRANEE (LNS);;;26400;26065;44.718611111111116 , 4.969166666666667;44°43'7''N 4°58'9''E;Projet approuvé
740797;SFR;1707126;LTE 700;29/12/2022;34;34202;4G;2025-10-02T15:15:22;342700565;23;14;65.0;LES CARRIERES;PRES RD 5;;;34570;34202;43.59 , 3.7822222222222224;43°35'24''N 3°46'56''E;En service
232998;FREE MOBILE;511176;LTE 900;;55;55581;4G;2025-10-02T15:15:22;550990060;24;203,9;32.0;La Croix-Pajot;;;;55500;55581;48.70638888888889 , 5.350555555555555;48°42'23''N 5°21'2''E;Projet approuvé
810113;SFR;2986995;LTE 2100;;89;89196;4G;2025-10-02T15:15:22;892700529;23;61;75.0;DOUR;ROUTE DE CHARMOY;;;89113;89196;47.92305555555555 , 3.475;47°55'23''N 3°28'30''E;Projet approuvé
338572;FREE MOBILE;2229496;LTE 1800;14/04/2025;74;74202;4G;2025-10-02T15:15:22;740990440;23;24;74.0;Sur la Ville;chem Des Chataigners;Proche du bois de Loye;;74330;74202;45.92638888888889 , 6.026666666666666;45°55'35''N 6°1'36''E;En service
712843;SFR;1063104;LTE 1800;07/04/2023;69;69383;4G;2025-10-02T15:15:22;692700766;38;18,7;9.0;;96 rue Pierre Corneille;;;69003;69383;45.76166666666666 , 4.844166666666666;45°45'42''N 4°50'39''E;En service
443149;ORANGE;491953;LTE 700;24/06/2021;42;42218;4G;2025-10-02T15:15:22;422290248;26;13;74.0;;12-13 R. Grangeneuve;;;42000;42218;45.45138888888889 , 4.419166666666667;45°27'5''N 4°25'9''E;En service
603961;ORANGE;2871654;LTE 800;07/05/2024;76;76511;4G;2025-10-02T15:15:22;762290661;23;38,3;42.0;;Chemin de la Haute Branche;;;76660;76511;49.86666666666667 , 1.5075;49°52'0''N 1°30'27''E;En service
347082;FREE MOBILE;2358837;5G NR 3500;16/09/2024;92;92044;5G;2025-10-02T15:15:22;920990336;38;26,5;28.0;;118-120, rue du Président Wilson;;;92300;92044;48.89722222222222 , 2.286111111111111;48°53'50''N 2°17'10''E;Techniquement opérationnel
518924;ORANGE;814348;LTE 700;20/01/2020;75;75108;4G;2025-10-02T15:15:22;752290254;38;41;9.0;;43/45 r de Naples;;;75008;75108;48.87916666666667 , 2.3166666666666664;48°52'45''N 2°19'0''E;En service
356264;FREE MOBILE;2503433;LTE 900;;91;91549;4G;2025-10-02T15:15:22;910990341;26;18;34.0;;RUE PAUL LANGEVIN;N104;;91700;91549;48.62555555555556 , 2.3347222222222226;48°37'32''N 2°20'5''E;Projet approuvé
84552;BOUYGUES TELECOM;1388790;GSM 900;30/09/1998;63;63472;2G;2025-10-02T15:15:22;632750018;23;30;32.0;Pré Foucaud;CHE DU DOMAINE DE SARLANT;Fontcrépon;;63270;63472;45.59916666666667 , 3.245;45°35'57''N 3°14'42''E;En service
676022;SFR;617483;GSM 900;01/12/1999;93;93063;2G;2025-10-02T15:15:22;932700146;26;20;27.0;;118 r de la libre pensée;;;93230;93063;48.87277777777778 , 2.4386111111111113;48°52'22''N 2°26'19''E;En service
541922;ORANGE;1535144;UMTS 900;27/02/2023;32;32322;3G;2025-10-02T15:15:22;322290137;23;32;65.0;Esquiro;;;;32130;32322;43.505833333333335 , 1.0080555555555555;43°30'21''N 1°0'29''E;En service
151526;BOUYGUES TELECOM;2400031;LTE 800;25/07/2022;82;82102;4G;2025-10-02T15:15:22;822750162;23;42;27.0;LE CAILLOU;;;;82120;82102;44.005833333333335 , 0.8597222222222222;44°0'21''N 0°51'35''E;En service
133393;BOUYGUES TELECOM;2028266;GSM 900;19/12/2018;1;1379;2G;2025-10-02T15:15:22;12750426;23;25,2;29.0;;620 AUX FROMENTAUX;;;1500;1379;45.9325 , 5.263055555555556;45°55'57''N 5°15'47''E;En service
400728;FREE MOBILE;3004918;LTE 2600;30/03/2022;77;77227;4G;2025-10-02T15:15:22;770990406;23;31;32.0;LE MERISIER DES BAUGES;RUE DE LA GARE;PRES DU CIMETIERE;;77114;77227;48.48722222222222 , 3.3469444444444445;48°29'14''N 3°20'49''E;En service
354219;FREE MOBILE;2467702;LTE 700;29/11/2021;69;69259;4G;2025-10-02T15:15:22;690990506;26;39;68.0;LES CLOSES;RUE DES FRERES LANFRANCHI;D95 D383;;69200;69259;45.717222222222226 , 4.873055555555556;45°43'2''N 4°52'23''E;En service
215110;FREE MOBILE;437769;LTE 900;;10;10007;4G;2025-10-02T15:15:22;100990025;33;67;32.0;Bois des Chenies;Station Hertzienne;;;10200;10007;48.16972222222222 , 4.710277777777778;48°10'11''N 4°42'37''E;Projet approuvé
147686;BOUYGUES TELECOM;2306019;GSM 900;20/10/2021;78;78362;2G;2025-10-02T15:15:22;782750999;23;12;68.0;;11 R DE L'OUEST;;;78711;78362;48.97972222222222 , 1.688611111111111;48°58'47''N 1°41'19''E;En service
7526;BOUYGUES TELECOM;444963;UMTS 900;16/10/2019;51;51454;3G;2025-10-02T15:15:22;512750390;4;58,5;34.0;Moulin de la Housse;r du Dr Jeankel Segal;;;51100;51454;49.24277777777778 , 4.0586111111111105;49°14'34''N 4°3'31''E;En service
493888;ORANGE;746959;LTE 800;30/07/2014;49;49301;4G;2025-10-02T15:15:22;492290052;23;48;74.0;La Penneraiserie;R Denis Papin;;;49450;49301;47.11611111111111 , -0.9808333333333333;47°6'58''N 0°58'51''W;En service
757265;SFR;1868053;5G NR 2100;;1;1267;5G;2025-10-02T15:15:22;12700262;23;34;65.0;SUR LA TOUR;chem dit du grand Verger;;;1460;1267;46.18555555555555 , 5.519166666666667;46°11'8''N 5°31'9''E;Projet approuvé
98076;BOUYGUES TELECOM;1611777;LTE 1800;29/12/2015;4;4226;4G;2025-10-02T15:15:22;42750009;17;12,3;34.0;Pra-Loup;telesiège de la Clappe;;;4400;4226;44.367222222222225 , 6.600833333333333;44°22'2''N 6°36'3''E;En service
406949;FREE MOBILE;3059620;LTE 1800;;89;89387;4G;2025-10-02T15:15:22;890990596;17;24,2;28.0;;40 rue Rene Binet;;;89100;89387;48.19305555555555 , 3.293333333333333;48°11'35''N 3°17'36''E;Projet approuvé
508392;ORANGE;789207;5G NR 3500;;44;44026;5G;2025-10-02T15:15:22;442290254;20;75;34.0;;pl st-pierre;Eglise;;44470;44026;47.29666666666667 , -1.4922222222222223;47°17'48''N 1°29'32''W;Projet approuvé
298726;FREE MOBILE;1699409;LTE 2100;21/02/2022;10;10081;4G;2025-10-02T15:15:22;100990130;23;20,4;75.0;;19 Rue des Frères Michelin;;;10600;10081;48.316111111111105 , 4.024166666666667;48°18'58''N 4°1'27''E;En service
815695;SFR;3038674;UMTS 900;;79;79159;3G;2025-10-02T15:15:22;792700331;23;30;65.0;Le Pâtis de l'Arc;Rue de sainte Gemme;Proche de la voie ferrée;;79330;79159;46.913333333333334 , -0.3063888888888889;46°54'48''N 0°18'23''W;Projet approuvé
482079;ORANGE;678367;LTE 1800;01/12/2016;972;97213;4G;2025-10-02T15:15:22;9722290128;38;32;28.0;Palmiste;Résidence Guimauve;Bât. F;;97232;97213;14.635555555555555 , -61.022777777777776;14°38'8''N 61°1'22''W;En service
